2026-07-21 17:56:33 | DEBUG    | app.parser.job_parser:parse_search_results:60 | Failed to parse job card: name 'DateStatus' is not defined
2026-07-21 17:56:33 | DEBUG    | app.parser.job_parser:parse_search_results:60 | Failed to parse job card: name 'DateStatus' is not defined
2026-07-21 17:56:33 | DEBUG    | app.parser.job_parser:parse_search_results:60 | Failed to parse job card: name 'DateStatus' is not defined
2026-07-21 17:56:33 | DEBUG    | app.parser.job_parser:parse_search_results:60 | Failed to parse job card: name 'DateStatus' is not defined
2026-07-21 17:56:33 | DEBUG    | app.parser.job_parser:parse_search_results:60 | Failed to parse job card: name 'DateStatus' is not defined
2026-07-21 17:56:33 | DEBUG    | app.parser.job_parser:parse_search_results:60 | Failed to parse job card: name 'DateStatus' is not defined
2026-07-21 17:56:33 | DEBUG    | app.parser.job_parser:parse_search_results:60 | Failed to parse job card: name 'DateStatus' is not defined
2026-07-21 17:56:33 | DEBUG    | app.parser.job_parser:parse_search_results:60 | Failed to parse job card: name 'DateStatus' is not defined
2026-07-21 17:58:22 | INFO     | app.utils.logger:setup_logging:70 | Logging initialized. Log directory: logs
2026-07-21 17:58:22 | INFO     | main:lifespan:25 | ============================================================
2026-07-21 17:58:22 | INFO     | main:lifespan:26 | Indeed Job Scraper Application Started
2026-07-21 17:58:22 | INFO     | main:lifespan:27 | Open Browser: http://127.0.0.1:8000
2026-07-21 17:58:22 | INFO     | main:lifespan:28 | ============================================================
2026-07-21 17:58:22 | DEBUG    | app.dashboard.websocket:connect:31 | WebSocket connected. Active connections: 1
2026-07-21 17:58:22 | INFO     | app.services.scraper_service:__init__:38 | ScraperService initialized (simple mode)
2026-07-21 17:58:25 | DEBUG    | app.dashboard.websocket:connect:31 | WebSocket connected. Active connections: 2
2026-07-21 17:58:29 | INFO     | app.services.scraper_service:start:64 | Scraper started: country='US', query='AI Developer', pages=1
2026-07-21 17:58:33 | DEBUG    | app.filters.dedup_filter:filter:49 | DedupFilter: 1 total duplicates removed so far
2026-07-21 17:58:33 | DEBUG    | app.filters.dedup_filter:filter:49 | DedupFilter: 1 total duplicates removed so far
2026-07-21 17:58:33 | DEBUG    | app.filters.dedup_filter:filter:49 | DedupFilter: 1 total duplicates removed so far
2026-07-21 17:58:33 | DEBUG    | app.filters.dedup_filter:filter:49 | DedupFilter: 1 total duplicates removed so far
2026-07-21 17:58:36 | INFO     | app.excel.exporter:export:122 | Excel exported: outputs\Indeed_Job_Leads_2026-07-21.xlsx (15 leads)
2026-07-21 17:58:36 | INFO     | app.services.scraper_service:_run_pipeline:114 | Excel exported to: outputs\Indeed_Job_Leads_2026-07-21.xlsx
2026-07-21 17:59:08 | DEBUG    | app.dashboard.websocket:connect:31 | WebSocket connected. Active connections: 3
2026-07-21 18:00:04 | DEBUG    | app.dashboard.websocket:connect:31 | WebSocket connected. Active connections: 4
2026-07-21 18:06:13 | INFO     | app.utils.logger:setup_logging:70 | Logging initialized. Log directory: logs
2026-07-21 18:06:13 | INFO     | main:lifespan:25 | ============================================================
2026-07-21 18:06:13 | INFO     | main:lifespan:26 | Indeed Job Scraper Application Started
2026-07-21 18:06:13 | INFO     | main:lifespan:27 | Open Browser: http://127.0.0.1:8000
2026-07-21 18:06:13 | INFO     | main:lifespan:28 | ============================================================
2026-07-21 18:06:13 | DEBUG    | app.dashboard.websocket:connect:31 | WebSocket connected. Active connections: 1
2026-07-21 18:06:13 | INFO     | app.services.scraper_service:__init__:38 | ScraperService initialized (simple mode)
2026-07-21 18:06:13 | DEBUG    | app.dashboard.websocket:connect:31 | WebSocket connected. Active connections: 2
2026-07-21 18:06:14 | DEBUG    | app.dashboard.websocket:connect:31 | WebSocket connected. Active connections: 3
2026-07-21 18:06:40 | DEBUG    | app.dashboard.websocket:disconnect:37 | WebSocket disconnected. Active connections: 2
